license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1528,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Bloomington,MN,55425-1158,Hennepin
,,,Substance Use Disorder Treatment,Active,,Bloomington,MN,55425-1230,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-0005,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-2562,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55425-2444,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55425-1215,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1570,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55425-2041,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1683,Hennepin
,,,Adult Day Care Services,Active,,Bloomington,MN,55425-2615,Hennepin
,,,Substance Use Disorder Treatment,Active,,Bloomington,MN,55425-1682,Hennepin
,,,Home and Community Based Services,Denied as of 10/20/2025,,Bloomington,MN,55425-2211,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55425-1386,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-2304,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-1711,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55425,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55425-1208,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-1976,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55425-2183,Hennepin
,,,Home and Community Based Services,Temp Immediate Suspension: Under Appeal as of 12/09/2025,,Bloomington,MN,55425-2371,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55425-2157,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55426-2337,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55426-2718,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-3703,Hennepin
,,,Home and Community Based Services,Active,,SAINT LOUIS PARK,MN,55426-1820,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55426-4223,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55426-3906,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-4306,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426,Hennepin
,,,Mental Health Clinic,Active,,St Louis Park,MN,55426-1626,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55426-1365,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,SAINT LOUIS PARK,MN,55426-4342,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-2932,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-4143,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-4900,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55426-1527,Hennepin
,,,Adult Foster Care,Active,,SAINT LOUIS PARK,MN,55426-1015,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-0000,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55426-3505,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55426-3951,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-3451,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Golden Valley,MN,55426-0000,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55426-1440,Hennepin
,,,Certified Child Care Center,Active,,Saint Louis Park,MN,55426,Hennepin
,,,Certified Child Care Center,Active,,Saint Louis Park,MN,55426-3513,Hennepin
,,,Certified Child Care Center,Active,,Saint Louis Park,MN,55426-3357,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-2842,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55426-3113,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-3027,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-2845,Hennepin
,,,Family Child Care,Active,,SAINT LOUIS PARK,MN,55426-3445,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-1840,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55426-1432,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-2016,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-1464,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55426-3782,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-3825,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55426-1455,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55426-2443,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55426-2471,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55426-0000,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,St Louis Park,MN,55426-3400,Hennepin
,,,Home and Community Based Services,Active,,St Louis Park,MN,55426-1853,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,St Louis Park,MN,55426-2968,Hennepin
,,,Child Caring-Placing Agency,Active,,Golden Valley,MN,55426-1360,Hennepin
,,,Child Care Center,Active,,Saint Louis Park,MN,55426-2354,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55426-1578,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Golden Valley,MN,55426,Hennepin
,,,Family Child Care,Active,,St Louis Park,MN,55426-3024,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55427-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55427-4158,Hennepin
,,,Family Child Care,Closed as of 07/03/2025,,Golden Valley,MN,55427-3770,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55427-1131,Hennepin
,,,Home and Community Based Services,Closed as of 11/25/2025,,Crystal,MN,55427-2038,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Golden Valley,MN,55427-3345,Hennepin
,,,Family Child Care,Closed as of 11/07/2025,,New Hope,MN,55427-2461,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55427-1611,Hennepin
,,,Adult Foster Care,Active,,New Hope,MN,55427-1663,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55427-1749,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55427-4506,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-1112,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55427-2128,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55427-1914,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-1967,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-1235,Hennepin
,,,Substance Use Disorder Treatment,Active,,Crystal,MN,55427,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55427,Hennepin
,,,Child Care Center,Active,,New Hope,MN,55427-1207,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55427-1452,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55427-1206,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55427-3041,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55427-1240,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-2850,Hennepin
,,,Certified Child Care Center,Active,,Golden Valley,MN,55427-4117,Hennepin
,,,Certified Child Care Center,Active,,Crystal,MN,55427-3042,Hennepin
,,,Certified Child Care Center,Active,,New Hope,MN,55427-1848,Hennepin
,,,Certified Child Care Center,Active,,New Hope,MN,55427-3233,Hennepin
,,,Certified Child Care Center,Active,,Golden Valley,MN,55427-3616,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-1200,Hennepin
,,,Child Care Center,Active,,New Hope,MN,55427-1718,Hennepin
,,,Adult Day Care Services,Active,,Golden Valley,MN,55427-3659,Hennepin
,,,Adult Day Care Services,Active,,Golden Valley,MN,55427-4476,Hennepin
,,,Home and Community Based Services,Active,,Golden Valley,MN,55427-3661,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55427-4305,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55427-4955,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Golden Valley,MN,55427,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55427-1405,Hennepin
,,,Child Foster Residence Setting,Closed as of 10/31/2025,,Golden Valley,MN,55427-4953,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55427-4305,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-1241,Hennepin
,,,Child Care Center,Active,,New Hope,MN,55427-1226,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-2450,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55427-1566,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Golden Valley,MN,55427-4357,Hennepin
,,,Child Care Center,Active,,Golden Valley,MN,55427-4673,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55427-2848,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55427-4245,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55427-3945,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55427-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-1641,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-2610,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55427-2639,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55427-1038,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55427-1138,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55427-1528,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55427-4208,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55427-4820,Hennepin
,,,Home and Community Based Services,Active,,Crystal,MN,55427-2834,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55427-1240,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Golden Valley,MN,55427-4367,Hennepin
,,,Family Child Care,Active,,Golden Valley,MN,55427-4537,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1253,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-3832,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1006,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-1843,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-4408,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55428-5616,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2776,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428-5122,Hennepin
,,,Adult Foster Care,Active,,Crystal,MN,55428-3926,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428-3854,Hennepin
,,,Children's Residential Facilities,Active,,Brooklyn Park,MN,55428,Hennepin
,,,Child Care Center,Active,,Crystal,MN,55428-3577,Hennepin
,,,Substance Use Disorder Treatment,Active,,New Hope,MN,55428-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4757,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4849,Hennepin
,,,Child Care Center,Active,,New Hope,MN,55428-4742,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-1665,Hennepin
,,,Home and Community Based Services,Closed as of 10/29/2025,,Brooklyn Park,MN,55428-1692,Hennepin
,,,Adult Foster Care,Active,,New Hope,MN,55428-2815,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4443,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4413,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-1754,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4110,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4754,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55428-4617,Hennepin
,,,Child Foster Residence Setting,Active,,New Hope,MN,55428-3712,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2734,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55428-5123,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55428-5116,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-1454,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55428-1500,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2227,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428-5021,Hennepin
,,,Home and Community Based Services,Conditional as of 06/03/2024,,Minneapolis,MN,55428-3095,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55428-5129,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-3536,Hennepin
,,,Home and Community Based Services,Active,,Crystal,MN,55428-4528,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55428-5615,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-4502,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-1763,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428-3920,Hennepin
,,,Child Caring-Placing Agency,Active,,Crystal,MN,55428-3826,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55428,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4844,Hennepin
,,,Certified Child Care Center,Active,,Crystal,MN,55428-4625,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55428-2724,Hennepin
,,,Child Foster Residence Setting,Active,,Brooklyn Park,MN,55428-1635,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-3818,Hennepin
,,,Child Care Center,Active,,Brooklyn Park,MN,55428-1227,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-5041,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1540,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Brooklyn Park,MN,55428-0000,Hennepin
,,,Substance Use Disorder Treatment,Active,,Brooklyn Park,MN,55428-1024,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Brooklyn Park,MN,55428-2422,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-2765,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55428-0000,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1930,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,New Hope,MN,55428,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1036,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1035,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-1842,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2162,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1403,Hennepin
,,,Child Care Center,Active,,New Hope,MN,55428-3615,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55428-3438,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55428-1020,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2212,Hennepin
,,,Home and Community Based Services,Active,,New Hope,MN,55428-4127,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-3706,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55428-2513,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-3045,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-3028,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-2812,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-2753,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-3815,Hennepin
,,,Child Care Center,Active,,Brooklyn Park,MN,55428-1623,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-1826,Hennepin
,,,Family Child Care,Closed as of 07/01/2025,,New Hope,MN,55428-4105,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-1439,Hennepin
,,,Children's Residential Facilities,Active,,Crystal,MN,55428-3948,Hennepin
,,,Home and Community Based Services,Active,,Crystal,MN,55428-3263,Hennepin
,,,Family Child Care,Active,,New Hope,MN,55428-4827,Hennepin
,,,Adult Day Care Services,Active,,Brooklyn Park,MN,55428-1228,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55428-4137,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,New Hope,MN,55428-4516,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55428-2521,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55428-4518,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3072,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2664,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3000,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3068,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Brooklyn Park,MN,55429,Hennepin
,,,Home and Community Based Services,Closed as of 10/02/2025,,Brooklyn Center,MN,55429-2533,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55429-1279,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-1370,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2210,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2009,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2027,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55429-1521,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-3046,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-2518,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-3171,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Park,MN,55429-0000,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55429-2174,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55429-2727,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3064,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55429-3737,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-2532,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55429-3404,Hennepin
,,,Child Foster Residence Setting,Active,,Brooklyn Park,MN,55429-1070,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2663,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-2664,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3066,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-0000,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-1611,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-2532,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2619,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-1274,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1450,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55429-2847,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2018,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-4110,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55429-3268,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1701,Hennepin
,,,Home and Community Based Services,Closed as of 09/24/2025,,Minneapolis,MN,55429-1062,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-2123,Hennepin
,,,Certified Child Care Center,Active,,Brooklyn Park,MN,55429-2095,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3077,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-2032,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2206,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2402,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3073,Hennepin
,,,Home and Community Based Services,Closed as of 09/22/2025,,Brooklyn Park,MN,55429-1522,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-1725,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55429-0000,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3059,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3089,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55429-3152,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3065,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-2144,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-1720,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1313,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2173,Hennepin
,,,Home and Community Based Services,Active,,Crystal,MN,55429-2814,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55429-1033,Hennepin
,,,Child Care Center,Active,,Crystal,MN,55429-2702,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-2057,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-2626,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-3029,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2502,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-3310,Hennepin
,,,Family Child Care,Active,,Brooklyn Park,MN,55429-1515,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1359,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Minneapolis,MN,55429-3658,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-1334,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-3005,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Brooklyn Center,MN,55429-1739,Hennepin
,,,Substance Use Disorder Treatment,Active,,Crystal,MN,55429-3184,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-2434,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55429-1047,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-1341,Hennepin
,,,Child Care Center,Pending Reopening as of 12/24/2025,,Crystal,MN,55429-3504,Hennepin
,,,Family Child Care,Active,,Crystal,MN,55429-3659,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Crystal,MN,55429-3501,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55429-3075,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1663,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-1176,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-5429,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-1647,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-2025,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55429-1370,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Park,MN,55429-1949,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55429-2483,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55429-1258,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Crystal,MN,55429-3254,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55429-2049,Hennepin
,,,Substance Use Disorder Treatment,Active,,Brooklyn Center,MN,55430-2562,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2514,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1318,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2386,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-1751,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-2491,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2001,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1332,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2342,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-4521,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2467,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55430,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55430-3356,Hennepin
,,,Family Child Care,Closed as of 12/04/2025,,Minneapolis,MN,55430-3450,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55430-2314,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2356,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55430-3558,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2523,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2370,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55430-2322,Hennepin
